year	j	panel_ref	panel_track	panel_title	panel_description	notes
2019	4823	PS1 Roundtable	Political Science as a Discipline	Journal Publishing: Finding the Right Outlet for your Research and Avoiding Desk Rejections	NA	NA
2019	4555	CP17	Comparative Politics	Electoral and party system origins	NA	NA
2019	4538	EL49	Elections, Public Opinion, and Voting Behaviour	Emotions and Voting II	NA	NA
2019	4537	EL48	Elections, Public Opinion, and Voting Behaviour	Influences on policy positions	NA	NA
2019	4536	PE31	Political Economy	Support for costly policies	NA	NA
2019	4519	CP4	Comparative Politics	Political Economy of Hybrid Regimes	NA	NA
2019	4428	CP19	Comparative Politics	Protest and mobilization	NA	NA
2019	4427	CP18	Comparative Politics	Technocrats, bureaucrats, and judges	NA	NA
2019	4426	CP16	Comparative Politics	New Directions in the Study of Regimes	NA	NA
2019	4425	CP15	Comparative Politics	Politics of Ethnicity	NA	NA
2019	4424	CP14	Comparative Politics	Clientelism	NA	NA
2019	4423	CP13	Comparative Politics	F**kin' Internet	NA	NA
2019	4422	CP12	Comparative Politics	Women and the Vote	NA	NA
2019	4421	CP11	Comparative Politics	Electoral Integrity and Violence	NA	NA
2019	4420	CP10	Comparative Politics	Judicial Politics	NA	NA
2019	4419	CP9	Comparative Politics	Left and Right in Comparative Perspective	NA	NA
2019	4418	CP8	Comparative Politics	Transitions to Democracy	NA	NA
2019	4417	CP7	Comparative Politics	(Mostly) Experimental Evidence on Immigration Politics	NA	NA
2019	4416	CP6	Comparative Politics	Inequality and Attitudes	NA	NA
2019	4415	CP5	Comparative Politics	Populism	NA	NA
2019	4414	CP3	Comparative Politics	Authoritarian Politics	NA	NA
2019	4413	CF18	International and Domestic Conflict	Predicting conflict	NA	NA
2019	4412	CF17	International and Domestic Conflict	Formal models of conflict	NA	NA
2019	4411	CF16	International and Domestic Conflict	Post-conflict reconstruction	NA	NA
2019	4410	CF15	International and Domestic Conflict	Social unrest and civil resistance	NA	NA
2019	4409	CF14	International and Domestic Conflict	Inequality and Conflict	NA	NA
2019	4408	CF13	International and Domestic Conflict	Recruitment and civilian support in civil wars	NA	NA
2019	4407	CF12	International and Domestic Conflict	State Capacity and conflict	NA	NA
2019	4406	CF11	International and Domestic Conflict	Conflict and the survival of leaders	NA	NA
2019	4405	CF10	International and Domestic Conflict	Peacekeeping and dispute resolution	NA	NA
2019	4404	CF9	International and Domestic Conflict	Self-determination and secessionism	NA	NA
2019	4403	CF8	International and Domestic Conflict	Funding civil wars	NA	NA
2019	4402	CF7	International and Domestic Conflict	Peace agreements	NA	NA
2019	4401	CF6	International and Domestic Conflict	Gender, identity, and conflict	NA	NA
