year	i	full_name	first_name	family_name	affiliation	gender
2020	848edf13f7a191f065468aeb8d86b2af	Florian Foos	NA	NA	London School of Economics and Political Science, London, UK	NA
2020	f3c80ee39f716864833baaea6684245b	Alexander Coppock	NA	NA	Yale University, New Haven	NA
2020	f0761f95846349d7603a37b27145a7cd	Andreas Murr	NA	NA	Warwick University, Coventry	NA
2020	4fd3e68f95a63b67af23ba2277d61cc7	Brittany Perry	NA	NA	Texas A&M University, College Station	NA
2020	f9f7fb51072d57d08be91ea29ff7441b	Diana O'Brien	NA	NA	Rice University, Houston	NA
2020	f43f20cd0141f6c0fd9f664fd6499926	Gloria Gennaro	NA	NA	Bocconi University, Milano	NA
2020	f1c734fd0fe615856ca93d2563c0ec88	Elliott Ash	NA	NA	ETH, Zurich	NA
2020	49c3439bed19bbdb14967be152a990cc	Benjamin G. Engst	NA	NA	University of Mannheim, Germany	NA
2020	bd0150237005efdc792f818a8e073cf6	Daniel Naurin	NA	NA	University of Oslo, Oslo, Norway	NA
2020	7478232562fb6b20451f18dc2cfa36c8	Øyvind Stiansen	NA	NA	PluriCourts, University of Oslo, Oslo	NA
2020	3c5bbbec4b8bdc8778b8bcac8164a64f	Benjamin Engst	NA	NA	University of Mannheim, Mannheim	NA
2020	c1d727be9f601e7534f5e2323651f94a	Thomas Gschwend	NA	NA	University of Mannheim, Mannheim	NA
2020	89e559a6d6b0db89820869bf61f43c1c	Judith Spirig	NA	NA	European University Institute, Firenze	NA
2020	edfd90050461203933c1e10a86da9865	Jay Krehbiel	NA	NA	West Virginia University, Morgantown	NA
2020	4e65027c75f8d82188aceddafcfec4bd	Silje Hermansen	NA	NA	PluriCourts, University of Oslo, Oslo	NA
2020	9627bf9c49b0586ac1471089481b1b15	Tommaso Pavone	NA	NA	PluriCourts, University of Oslo, Oslo	NA
2020	3ffd306c9c2f5eec2665a01ae7674295	Mathias Poertner	NA	NA	Texas A&M University, College Station	NA
2020	2ad7de3b5ff2cdb73d70c8662abe732f	Nataliya Demyanenko	NA	NA	HHL Leipzig Graduate School of Management, Leipzig	NA
2020	94ed6e07767c21a28843ce09f5c6e381	Pierfrancesco La Mura	NA	NA	HHL Leipzig Graduate School of Management, Leipzig	NA
2020	4161ab07b395e0d1eb44d88fb87010ea	Spyros Kosmidis	NA	NA	University of Oxford, UK	NA
2020	5fe5fef819dc9592896556e2f598f9ac	Davide Morisi	NA	NA	Collegio Carlo Alberto, Turin	NA
2020	b5874ec1e5bfaba5c697522622c0b57e	Matthew Goldberg	NA	NA	Yale University, New Haven	NA
2020	c1be46eca7932ec2beaf59e475965f94	John Jost	NA	NA	New York University, New York	NA
2020	d7b040308284d269269e32808a762834	Christine Stedtnitz	NA	NA	University of Essex, Colchester	NA
