session_id	session_title	session_track	session_type	pid	full_name	affiliation	role	abstract_id	abstract_title	abstract_ref	abstract_presenters	abstract_text
10	Political Methodology	Political Methodology	Panel Session 1	848edf13f7a191f065468aeb8d86b2af	Florian Foos	London School of Economics and Political Science, London, UK	c	NA	NA	NA	NA	NA
10	Political Methodology	Political Methodology	Panel Session 1	f3c80ee39f716864833baaea6684245b	Alexander Coppock	Yale University, New Haven	p	0001	Visualize as You Randomize: Design-Based Statistical Graphs for Randomized Experiments	361	Alexander Coppock	A good statistical graph for a randomized experiment simultaneously conveys the study's design, analysis, and results. It reveals the experimental design by mapping design elements to aesthetic parameters. It illuminates the analysis by plotting the statistical model in ""data-space."" When the design and analysis of an experiment are encoded in a plot, the interpretation of the experimental results is clarified. ""Analyze as you randomize"" is a dictum attributed to Fisher that guides interpretations of experimental data. This chapter extends that principle to visualizations of randomized experiments. While not every experiment requires a visualization, those that do should be visualized in ways that communicate the design and results together.
10	Political Methodology	Political Methodology	Panel Session 1	f0761f95846349d7603a37b27145a7cd	Andreas Murr	Warwick University, Coventry	p	0010	Optimal Combination of Citizen Forecasts	960	Andreas Murr	Citizen forecasts are increasingly used to predict elections. This increase is justified because citizen forecasting is among the most accurate election prediction methods, and its accuracy extends to subnational units, even when based on small and hence unrepresentative samples. The standard method for combining citizen forecasts is majority voting, which is optimal (minimum possible classification error) when accuracies are equal across citizens. Recently, weighted majority voting has been proposed for two-party systems, which is optimal when accuracies vary across citizens, but are equal across parties for each citizen. I introduce a probabilistic framework from pattern recognition that generalises weighted majority voting from two- to multi-party systems. This framework also includes two additional combiners, and I extend it by deriving another two. In total six combiners are derived subsequently from one another, by progressively relaxing and then eliminating assumptions about citizen accuracy or party accuracy. The framework also highlights that fewer assumptions come at the cost of more parameters to be estimated, which may make non-optimal combiners perform better than the optimal combiner. I apply the framework to citizen forecasting in the British multi-party system. Results from eight general elections slightly favour weighted majority voting, especially for constituencies with few citizens.
10	Political Methodology	Political Methodology	Panel Session 1	4fd3e68f95a63b67af23ba2277d61cc7	Brittany Perry	Texas A&M University, College Station	p	0019	Closing the Gender Gap in Undergraduate Political Methodology Training	1087	Brittany Perry	Recent years have witnessed both increased attention to the costs associated with women's under-representation in STEM fields and also greater efforts to mitigate these gender disparities. Within political science, in particular, there is growing emphasis on bolstering women's presence in the political methodology sub-field. We contribute to these efforts with an intervention aimed at increasing female undergraduate students' interest in quantitative political science at a large southern U.S. university. After discovering that the university's female political science students were less likely to pursue a quantitatively oriented Bachelors of Science degree, we designed a short, female-friendly presentation on the benefits of the degree, which we delivered to a randomly selected subset of discussion sections in an introductory political science course. To evaluate the utility of this intervention, we compare it to an alternative, more conventional presentation delivered to the remaining discussion sections. Our initial results suggest that providing information about the benefits of the quantitatively-oriented major helps close the gender gap in men's and women's likelihood of pursuing such a degree. And, it seems plausible that the female-friendly intervention is especially effective. When completed, this field experiment---which is still ongoing---may provide a low cost intervention that can boost women's interest in pursuing quantitatively-oriented majors.
10	Political Methodology	Political Methodology	Panel Session 1	f9f7fb51072d57d08be91ea29ff7441b	Diana O'Brien	Rice University, Houston	p	0019	Closing the Gender Gap in Undergraduate Political Methodology Training	1087	Brittany Perry	Recent years have witnessed both increased attention to the costs associated with women's under-representation in STEM fields and also greater efforts to mitigate these gender disparities. Within political science, in particular, there is growing emphasis on bolstering women's presence in the political methodology sub-field. We contribute to these efforts with an intervention aimed at increasing female undergraduate students' interest in quantitative political science at a large southern U.S. university. After discovering that the university's female political science students were less likely to pursue a quantitatively oriented Bachelors of Science degree, we designed a short, female-friendly presentation on the benefits of the degree, which we delivered to a randomly selected subset of discussion sections in an introductory political science course. To evaluate the utility of this intervention, we compare it to an alternative, more conventional presentation delivered to the remaining discussion sections. Our initial results suggest that providing information about the benefits of the quantitatively-oriented major helps close the gender gap in men's and women's likelihood of pursuing such a degree. And, it seems plausible that the female-friendly intervention is especially effective. When completed, this field experiment---which is still ongoing---may provide a low cost intervention that can boost women's interest in pursuing quantitatively-oriented majors.
10	Political Methodology	Political Methodology	Panel Session 1	f43f20cd0141f6c0fd9f664fd6499926	Gloria Gennaro	Bocconi University, Milano	p	0028	Emotion and Reason in Political Language	987	Gloria Gennaro	We use computational linguistics techniques to study the use of emotion and reason in political discourse. Our new measure of emotionality in language combines lexicons for affective and cognitive processes, as well as word embeddings, to construct a dimension in language space between emotion and reason. Applying the method to the U.S. Congressional Record for the years 1858 through 2014, we show that emotionality in U.S. politics was stable until the early 1970s, after which time it increased significantly. More polarized politicians use more emotional language in their speeches. Emotionality increased after floor speeches became televised.
10	Political Methodology	Political Methodology	Panel Session 1	f1c734fd0fe615856ca93d2563c0ec88	Elliott Ash	ETH, Zurich	p	0028	Emotion and Reason in Political Language	987	Gloria Gennaro	We use computational linguistics techniques to study the use of emotion and reason in political discourse. Our new measure of emotionality in language combines lexicons for affective and cognitive processes, as well as word embeddings, to construct a dimension in language space between emotion and reason. Applying the method to the U.S. Congressional Record for the years 1858 through 2014, we show that emotionality in U.S. politics was stable until the early 1970s, after which time it increased significantly. More polarized politicians use more emotional language in their speeches. Emotionality increased after floor speeches became televised.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	49c3439bed19bbdb14967be152a990cc	Benjamin G. Engst	University of Mannheim, Germany	c	NA	NA	NA	NA	NA
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	bd0150237005efdc792f818a8e073cf6	Daniel Naurin	University of Oslo, Oslo, Norway	c	NA	NA	NA	NA	NA
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	7478232562fb6b20451f18dc2cfa36c8	Øyvind Stiansen	PluriCourts, University of Oslo, Oslo	p	0113	(Non)Renewable Terms and Judicial Independence in the European Court of Human Rights	320	Øyvind Stiansen	Do renewable terms compromise judicial independence? Scholars of various courts have demonstrated relationships between judges' voting patterns and the interests of actors responsible for their (re)appointment. However, it is typically unclear if such relationships are (at least partially) explained by judges acting strategically to achieve reappointment or if they are (fully) attributable to selection effects. I exploit a 2010 reform of the European Court of Human Rights (ECtHR) to estimate the casual effect of removing reappointment opportunities on judges' independence. The ECtHR bench is composed of one judge from each member state and judges sit ex officio on cases involving their nominating state. Prior to 2010, terms were renewable and judges seeking reappointment were therefore incentivized to favor their nominating states. In 2010, the terms were made nonrenewable with immediate effect for judges serving on the Court. I show that removing reappointment opportunities significantly reduced judges' tendency to favor their nominating states.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	3c5bbbec4b8bdc8778b8bcac8164a64f	Benjamin Engst	University of Mannheim, Mannheim	p	0119	Public Acceptance of Legal Opinions in an Age of Judicial Independence at Stake	238	Benjamin Engst	To what extent are judicial legitimacy and ideological views on controversial legal opinions linked? Judicial independents is under increasing pressure in European democracies. We (re-)evaluate the publics’ willingness to support highest courts within the European Union, to understand how possible changes in judicial legitimacy link to the publics’ willingness to accept judicial opinions. Subsequently, we analyze whether individuals regard judicial opinions as politically moderate or extreme in comparison to their own political views, while the support for highest courts varies. In order to do so, we administered a survey-experiment in 12 Western and Central Eastern European countries. First, we evaluate respondents’ support for the highest courts using established legitimacy measures. Second, we ask respondents to place controversial societal opinions in a policy space and randomly prime them that those opinions where made either by highest courts or by representatives of the national government; we withhold any priming from a control group. Finally, we compare the placement of respondents to their political self-placement. Our research design allows to assess variation in public support for the judiciary across countries. Moreover, we assess respondents’ perceptions of controversial opinions made by judicial institutions in comparison to other primers. The findings have implications for our understanding of the publics’ reaction to the increasing threat on judicial independence. In comparing findings across countries, we are able to understand whether limiting judicial independence promotes the public rejection of controversial opinions. If this is the case then governments limiting the judiciary potential succeed when increasingly engaging in court-curbing.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	c1d727be9f601e7534f5e2323651f94a	Thomas Gschwend	University of Mannheim, Mannheim	p	0119	Public Acceptance of Legal Opinions in an Age of Judicial Independence at Stake	238	Benjamin Engst	To what extent are judicial legitimacy and ideological views on controversial legal opinions linked? Judicial independents is under increasing pressure in European democracies. We (re-)evaluate the publics’ willingness to support highest courts within the European Union, to understand how possible changes in judicial legitimacy link to the publics’ willingness to accept judicial opinions. Subsequently, we analyze whether individuals regard judicial opinions as politically moderate or extreme in comparison to their own political views, while the support for highest courts varies. In order to do so, we administered a survey-experiment in 12 Western and Central Eastern European countries. First, we evaluate respondents’ support for the highest courts using established legitimacy measures. Second, we ask respondents to place controversial societal opinions in a policy space and randomly prime them that those opinions where made either by highest courts or by representatives of the national government; we withhold any priming from a control group. Finally, we compare the placement of respondents to their political self-placement. Our research design allows to assess variation in public support for the judiciary across countries. Moreover, we assess respondents’ perceptions of controversial opinions made by judicial institutions in comparison to other primers. The findings have implications for our understanding of the publics’ reaction to the increasing threat on judicial independence. In comparing findings across countries, we are able to understand whether limiting judicial independence promotes the public rejection of controversial opinions. If this is the case then governments limiting the judiciary potential succeed when increasingly engaging in court-curbing.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	89e559a6d6b0db89820869bf61f43c1c	Judith Spirig	European University Institute, Firenze	p	0125	Clearly With or Without Merit? A Change in the Decision-Making Procedure and Judicial Outcomes.	750	Judith Spirig	As many courts have struggled with an increasing workload and a backlog of cases, it might come as no surprise that some have implemented a reduction in panel size to improve the efficiency and cost-effectiveness of decision making. Yet, we have only very limited empirical evidence as to if and how reducing panel size affects judicial decisions. This paper leverages a natural experiment at the Swiss Federal Administrative Court to gauge the impact of an effective panel size reduction on asylum appeal decisions. Drawing on fuzzy regression discontinuity design and machine learning approaches, I show that giving chair judges the opportunity to invoke a shorter procedure involving one less judge in the decision of cases ‘clearly with or without merit’ leads to a decrease in the grant rate. Though perhaps particularly consequential in the field of asylum law, this finding draws attention to the importance of decision-making procedures for the consistency of judicial decisions more broadly.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	edfd90050461203933c1e10a86da9865	Jay Krehbiel	West Virginia University, Morgantown	p	0131	Economic Conditions, Political Competition and Decision Making at the European Court of Justice	639	Jay Krehbiel	This paper considers how political competition and the economic condition of European Union member states interact to affect decision making at the European Court of Justice. Building on extant literature highlighting the influence of economic conditions on public support for European integration as well as theoretical accounts emphasizing the influence the cost of compliance for a member-state government exerts on the willingness of the European Court of Justice to rule counter to the government's preferences, I argue that poor economic conditions in a member state should correspond to a more deferential Court of Justice. I then extend this argument to account for the level of political competition facing the government by positing that the impact of economic conditions on decision making is conditioned by the electoral strength or weakness of the incumbent. An analysis of all legal issues brought to the Court from 1980 to 1998 in preliminary reference and infringement proceedings finds support for these expectations. Specifically, the Court was more likely to rule against the preferences of the member-state government when economic conditions are poor and the government faces strong electoral competition.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	4e65027c75f8d82188aceddafcfec4bd	Silje Hermansen	PluriCourts, University of Oslo, Oslo	p	0135	Instrument of Power or Weapon of the Weak? Litigation and Legal Representation before the European Court of Justice	587	Silje Hermansen	Studies of legal mobilization in the European Union are animated by a core puzzle: Does the EU's multi-level judicial system advance the rights of the ""have nots"" or reinforce the influence of the ""haves""? While some stress that EU protections of individual rights have expanded over time, others underscore that lawyers specializing in litigation before the European Court of Justice (CJEU) increasingly gravitate towards corporate law firms. Leveraging semi-structured interviews and time series analysis of an original dataset of parties and lawyers in all cases referred to the CJEU from national judges, we assess whether businesses obtain better legal representation before the Court and whether this advantage has grown over time. Our results speak to whether legal mobilization before the European Court tends to vindicate individual rights or to magnify corporate power.
102	Judicial independence and strategic decision-making in courts in an era of political polarization	NA	Panel Session 2	9627bf9c49b0586ac1471089481b1b15	Tommaso Pavone	PluriCourts, University of Oslo, Oslo	p	0135	Instrument of Power or Weapon of the Weak? Litigation and Legal Representation before the European Court of Justice	587	Silje Hermansen	Studies of legal mobilization in the European Union are animated by a core puzzle: Does the EU's multi-level judicial system advance the rights of the ""have nots"" or reinforce the influence of the ""haves""? While some stress that EU protections of individual rights have expanded over time, others underscore that lawyers specializing in litigation before the European Court of Justice (CJEU) increasingly gravitate towards corporate law firms. Leveraging semi-structured interviews and time series analysis of an original dataset of parties and lawyers in all cases referred to the CJEU from national judges, we assess whether businesses obtain better legal representation before the Court and whether this advantage has grown over time. Our results speak to whether legal mobilization before the European Court tends to vindicate individual rights or to magnify corporate power.
113	Political Methodology	Political Methodology	Panel Session 3	848edf13f7a191f065468aeb8d86b2af	Florian Foos	London School of Economics and Political Science, London, UK	c	NA	NA	NA	NA	NA
113	Political Methodology	Political Methodology	Panel Session 3	3ffd306c9c2f5eec2665a01ae7674295	Mathias Poertner	Texas A&M University, College Station	p	0083	Does Political Representation Increase Participation? Evidence from Party Candidate Lotteries in Mexico	607	Mathias Poertner	Does political representation increase political participation? Analyzing a natural experiment from Mexico, in which a political party uses lotteries to select and nominate candidates for national public office, this paper presents new insights into how descriptive representation shapes the political participation of underrepresented segments of society. I find that electoral participation in the subsequent elections is significantly higher among constituents who have been represented by randomly selected deputies who closely resemble their constituents in terms of their social background and who are embedded in local organizational networks. Furthermore, I find evidence that these represented constituents feel more empowered and that the party that provides this `grassroots' representation is rewarded, receiving significantly more electoral support in the subsequent election and gaining a strategic boost over its electoral competitors. The findings highlight the importance of descriptive representation for political mobilization and have important implications for debates about democratic inclusion and representation.
