year	abstract_id	abstract_ref	abstract_title	abstract_text	abstract_topic
2021	0381	34	Campaign Contributions and Legislative Behaviour: Evidence from U.S. Congress	In this study, I investigate the relationship between campaign contributions and legislative behavior of members of U.S. Congress (MCs) between 1980 and 2016. In the last four decades, political donations have become increasingly concentrated and economic inequality has reached the highest level of Western democracies. Contrary to expectations of a strong impact of money in politics, the literature has generally found mixed results for campaign contributions. In this sense, I analyze the relationship between the concentration of donations and three legislative activities of MCs: sponsorship of bills, speechmaking on the floor and witness appearances before committees. I find that the concentration of donations negatively correlates with all three endeavours. The interpretation of this result is that a very skewed structure of political funds makes a legislator more dependent from a relatively smaller number of donors and thus less responsive to the interests of voters. Overall, these findings represent the first empirical assessment of negative agenda power of interest groups and individuals giving large donations. Moreover, for bills the negative correlation is stronger for topics related to redistribution, especially health and housing policy proposals. This complex mechanism of influence of campaign contributions could have ultimately limited Congressional discussion of issues related to economic inequality. The results of this study show that the current system of campaign contributions distorts MCs’ incentives for the representation of their constituencies.	Political Economy, Public Policy and Administration
2021	0367	115	Government duration and conflict resolution mechanisms	Government duration is an extensively researched topic in political science. According to a well-known theoretical perspective (the ‘attributes approach’), the longevity of cabinets is determined by the same – legislative- or executive-level – factors that typically explain their formation (e.g. government size and the distribution of ideological preferences in the parliament and in the cabinet) (Strøm 1985). Following another renowned perspective (the ‘events approach’), cabinet duration is primarily affected by a set of ‘shocks’ that occur during the tenure and may perturb the equilibrium reached at the time of government formation (Browne, Frendreis & Gleiber 1984, 1986). These two approaches have been fruitfully combined into a ‘unified’ account of government survival (King et al. 1990; Warwick 1994). In this literature, very limited attention has been paid to the role of institutions such as the conflict resolution mechanisms employed by coalition parties in most multi-party governments. The comparative research on coalition governance has emphasized the crucial task these mechanisms perform in mitigating intra-coalition divergence and allowing coalition members to make joint policy (Strøm, Müller & Bergman 2008; Martin & Vanberg 2011; Carrol & Cox 2012). In this paper we assess how government survival in parliamentary democracies can be affected by the use of long-established institutional instruments designed to help coalition partners to govern together. To this purpose, we use data on the use of coalition governance instruments covering Western European democracies since the end of the Second World War.	Comparative Politics
2021	0335	615	Legislative Scrutiny in Coalition Governments	Legislators have a strong incentive to belong, control and head parliamentary committees. Committees are important venues for legislative scrutiny and are therefore central to understand the strategic interactions among governmental parties. Committee chairs are particularly influential in most parliaments. Why then is the distribution of committee chairs among the coalition partners uneven? And how does it reflect the conflict structure of coalitional decisison-making? Using newly codded data from Portugal and Sweden I show that coalition partners create conditions to scrutinize each other by strategically placing committee chairs in portfolios/issues of particular importance to the party. This provides credibility to the threat to scrutinize policies introduced by the coalition partner. It is mostly the smaller coalition partner(s) which rely on this mechanism.	Legislative Studies and Party Politics
2021	0351	123	Party Systems and Parliamentarianism	This paper offers an explanation for the long-run development of parliamentarianism in Western Europe. In many polities, parliamentarianism is what renders other institutions such as suffrage and electoral rules meaningful. However, unlike other institutions, parliamentarianism has been given scant attention in its own right. Defined as government responsibility to parliament only, parliamentarianism was the outcome of serious struggles among actors, particularly political parties and heads of state. In this paper, I argue that the development of parliamentarianism depended on party-system features such as institutionalization, fragmentation, volatility, and competitiveness because the development of party systems changed interactions among parties. These changes facilitated parliamentary practices while simultaneously shrinking the maneuvering room of (unelected) heads of state. The propositions are tested against nine century-long country histories, using panel-data techniques on a newly compiled data set. The paper is thus the first to offer explanations of European parliamentarianism in its own right.	Comparative Politics
2021	0382	431	A new approach to measure economic competitiveness on a subnational level.	Economic competitiveness is at the core of the field of political economy. Whether actors face competition from imports or seek to export products or services abroad allows us to better understand support for trade liberalisation. But arguments referring to the economic competitiveness of districts are widespread in the field of International Political Economy, beyond trade and also beyond this field, for example in theories of economic voting. However, thus far, we lack a convincing measure of economic competitiveness, particularly on a subnational level. In this measurement paper, we propose two measures of economic competitiveness, namely i) revealed comparative advantage measure, and ii) a trade ration measure. In combination with labour survey from more than 30 countries across the world, we demonstrate the applicability of our measure and provide empirical applications in the realm of productivity and voting which lend face credibility to our approach.	Political Economy, Public Policy and Administration
2021	0352	258	Global Aspects of Deservingness: How international trade risks and migration flows affect pension deservingness perception in Brazil	Access to social policy benefits is highly conflictual, especially in contexts of tight budgets and restrained opportunities in global credit markets. Previous research has identified a set of factors determining the deservingness to access welfare goods from the viewpoint of public opinion, among which nationality in the form of in/out-group dynamics plays a role. Out-group status can, however, also be determined through labor market status (formal/informal), party identity or other attitudes on, e. g., globalization or within-country migration. A more differentiating view on control, reciprocity and identity taking into account globalization effects, has, so far, been neglected in academic research. In this paper, I look at control, reciprocity and identity while keeping need constant in the middle-income country context of Brazil. I make use of a Conjoint experiment that was conducted as part of a larger, original, sub-national survey in 2019. Respondents received fictional, randomly assembled profiles of beneficiaries and were asked to indicate whom of the two profiles they would give access to a pension. Preliminary results show that especially globalization losers (individuals that lost their job to offshoring) are deemed deserving to a pension. Reciprocity does not seem to play a big role in this context since formal workers are perceived as less deserving, but nationality does determine access.	Political Economy, Public Policy and Administration
2021	0368	168	The Conditional Arm of the Law. The Effect of the OECD Anti-Bribery Convention on Foreign Direct Investment	Corporate criminal regulations are often criticized for increasing political risk to firms and deterring their foreign investment. Yet, the conditions under which this occurs are understudied. This paper studies the effect of corporate criminal policies home states adopted with the 1997 OECD Anti-Bribery Convention on their firms' outward investment. It argues that their effect on investment depends on the level of corruption of the host economy. The effect is null in clean countries. Where corruption is mild, anti-bribery laws empower firms: they provide a legal leverage to refuse paying costly bribes. The effect on investment is positive. Where corruption is endemic, instead, these policies deter investment: they expose firms to the risk of prosecution without providing any effective leverage. The effect is negative. Multilevel logit models test the argument, explaining investment decisions of 3871 individual firms between 2006 and 2011. Companies from signatories have a 40% higher probability of investing in mildly corrupt economies than those from non-signatories, which plummets to -50% in extremely corrupt countries. Difference-in-differences models of country-dyad investment flows corroborate this finding. Results show that anti-bribery policies pull firms away from extremely corrupt economies, which are left exposed to companies without anti-corruption standards. This informs a re-evaluation of anti-bribery policies.	Political Economy, Public Policy and Administration
2021	0336	117	Who Rebels on Trade Policy? Analyzing Voting Patterns of Legislators	Legislators play a key role in determining trade policy. In many countries, parliaments have to authorize their government to commence a trade negotiation and in most countries, parliaments must ratify any agreement before it enters into force. Unsurprisingly, most trade agreements are ratified along party lines but in some instances, defectors from the government prevent an agreement from entering into force. What drives these rebels? In this paper, I argue that material interests of the constituencies of lawmakers are the main reason for them to rebel from the party line. The more a legislator’s constituents stand to lose economically from an agreement, the more likely is this legislator to defect from her party if her party is in favor of the agreement and vice versa for legislators from districts that stand to benefit from trade liberalization. To test this hypothesis, I analyze 11,636 votes from twelve countries on the ratification of 53 different trade agreements. The results support the hypothesis and also demonstrate that the effect of the material interest on legislators' likelihood to rebel depends on the scope and depth of the trade agreement. This paper has implications for research on trade policy-making, representation, and legislator behavior.	Political Economy, Public Policy and Administration
2021	0369	109	The Economic Legacy of Early Democracy	Do democratic institutions promote long-run development? This paper documents that a precolonial version of democracy was conducive to long-run development in the contemporary developing world. However, these early democratic institutions only promoted development where European colonizers lacked the power to destroy them. While most colonial power was centered around the capital, it diminished in concentric circles into the hinterlands. The limited colonial power outside the capital made it difficult for the Europeans to destroy early democracy, and therefore, it often persisted in the hinterlands. Over time, early democracy laid the foundation for long-run development because societal actors were able to sanction rulers who failed to deliver public goods. Combining ethnographic data on early democracy with fine-grained data on local development, I document an economic legacy of early democracy in the hinterlands and present evidence for my proposed mechanism.	Comparative Politics
2021	0383	322	Neighborhood Social Ties and Compliance among the Poor	An extensive literature on political participation and social extraction suggests that peers, family members, and local authorities greatly influence the poor’s willingness to participate in political actions and community projects. Other literature on social networks suggests that individuals participate more when they reside in close-knit communities. We bring these literatures together. Recognizing that the poor do not uniformly reside in socially dense communities, we examine the extent to which close social ties influence the likelihood that poor individuals respond to the calls made by neighbors and local authorities to contribute to community goods. To do so, we employ a conjoint experiment and observational data from an original survey of over 23,000 respondents, fielded in more than 1200 communities in Kenya, Zambia, and Malawi. We find that the poor are more likely to express a willingness to contribute to a school or a burial fund, or to support a specific candidate, when asked by neighbors and village heads, and that they are more likely to do so in communities with strong social ties. Moreover, we find support for community monitoring and bandwagoning as two underlying mechanisms. Our findings suggest that poor individuals are more responsive to people from their community, and leaders embedded in their community networks, because they fear social sanctions by members of the community or expect rewards for compliance. This implies that distant, even if more powerful, leaders may have less influence over the poor when they lack the connections to the local communities.	Elections, Public Opinion, and Voting Behaviour
