year	j	panel_ref	panel_track	panel_type	panel_title	panel_description	notes
2021	100	NA	NA	Panel	Dynamics in Legislatures	NA	NA
2021	101	NA	NA	Panel	Globalization and Domestic Regulation	NA	NA
2021	102	NA	NA	Panel	Political Economy of Development	NA	NA
2021	103	NA	NA	Panel	From Ideology to Policy	NA	NA
2021	104	NA	NA	Panel	The Return of Radical Parties: Causes and Consequences	NA	NA
2021	105	NA	NA	Panel	Voter Mobilization and Vote Choice	NA	NA
2021	106	NA	NA	Panel	Political Economy of Industrialism	NA	NA
2021	107	NA	NA	Panel	Causal Analyses of Party Politics	NA	NA
2021	108	NA	NA	Panel	Migration and Refuge	NA	NA
2021	109	NA	NA	Panel	Aid and Development	NA	NA
2021	110	NA	NA	Panel	New Challenger(s) of Mainstream Parties	NA	NA
2021	111	NA	NA	Panel	Public Goods, Public Bads	NA	NA
2021	112	NA	NA	Panel	Representation and Legitimacy	NA	NA
2021	113	NA	NA	Panel	Candidate or Issue Selection	NA	NA
2021	114	NA	NA	Panel	Welfare Politics and Welfare Policies	NA	NA
2021	115	NA	NA	Panel	Challenged Policies	NA	NA
2021	116	NA	NA	Panel	Covid and Welfare	NA	NA
2021	117	NA	NA	Panel	Affective Polarization	NA	NA
2021	118	NA	NA	Panel	The New Normality of Radicalism	NA	NA
2021	12	NA	NA	Panel	Political Geography	NA	NA
2021	120	NA	NA	Panel	International Organizations and the Public	NA	NA
2021	121	NA	NA	Panel	Political Communication	NA	NA
2021	122	NA	NA	Panel	Democratic Backsliding	NA	NA
2021	123	NA	NA	Panel	Refuge, Asylum, Integration	NA	NA
2021	124	NA	NA	Panel	Measurement in Practice	NA	NA
2021	125	NA	NA	Panel	The Politics of Religion	NA	NA
2021	126	NA	NA	Panel	Strategic Use of Information	NA	NA
2021	127	NA	NA	Panel	Brexit: Don't look Back in Anger	NA	NA
2021	128	NA	NA	Panel	Measurement Theory	NA	NA
2021	129	NA	NA	Panel	Ministers and Cabinet Replacement	NA	NA
2021	13	NA	NA	Panel	Political Images	NA	NA
2021	130	NA	NA	Panel	Gender and Representation	NA	NA
2021	131	NA	NA	Panel	Data Scaling: Methodology and Application	NA	NA
2021	132	NA	NA	Panel	EU Politics	NA	NA
2021	133	NA	NA	Panel	Voting Patterns	NA	NA
2021	134	NA	NA	Panel	Parties and Voters	NA	NA
2021	135	NA	NA	Panel	Historical Origins of Contemporary Politics 2	NA	NA
2021	136	NA	NA	Panel	Constellations promoting Redistribution	NA	NA
2021	137	NA	NA	Panel	Dealing with Dissent in Democracies and Autocracies	NA	NA
2021	138	NA	NA	Panel	The Origins of Political Attitudes	NA	NA
2021	139	NA	NA	Panel	Parties and Electoral Systems	NA	NA
2021	14	NA	NA	Panel	Powers at War	NA	NA
2021	140	NA	NA	Panel	The Origins of Political Attitudes	NA	NA
2021	141	NA	NA	Panel	Changing Attitudes over a Lifecourse	NA	NA
2021	142	NA	NA	Panel	Euroscepticism Revisited	NA	NA
2021	15	NA	NA	Panel	Games Dictators Play	NA	NA
2021	151	NA	NA	Book Panel	Political Entrepreneurs and the New Party Challenge in Europe	NA	NA
2021	153	NA	NA	Panel	Ideas and Perceptions	NA	NA
2021	16	NA	NA	Panel	Satisfaction with Democracy	NA	NA
2021	17	NA	NA	Panel	Debt and Development	NA	NA
2021	19	NA	NA	Panel	Issue Ownership and Political Competition	NA	NA
