year	i	j	role
2022	228ca4d415c54a8c3217f07ade3f7e79	1	c
2022	0136eadfbea439147010ecbbd964fbb1	1	d
2022	228ca4d415c54a8c3217f07ade3f7e79	1	d
2022	6b5be878a4fda60126f3ffa9b4c44c30	1	p
2022	0136eadfbea439147010ecbbd964fbb1	1	p
2022	10d9539ef4a92f4374c44e6e9a71896e	1	p
2022	e34962b8c45d578f47b4c5da486f5a0e	1	p
2022	228ca4d415c54a8c3217f07ade3f7e79	1	p
2022	1c211ad65d608d9f257a7917c88621bc	1	p
2022	181e3435da3cb553cb7fe2658f24b313	10	c
2022	9391d090ec0236ecc3b7d97b3cc73c83	10	d
2022	cb066d61fed7c3f3bcdb1403b7160acb	10	p
2022	181e3435da3cb553cb7fe2658f24b313	10	p
2022	450ed19330054ff2d8752ce1509f2051	10	p
2022	dcbd1c1d00fd0519464bac1d4a2dd4a0	10	p
2022	43a29764291d5077d1fe6286c1c2dfdf	10	p
2022	e74409bcf7bfc346f5cd586b87869795	10	p
2022	cb7905e0c90444682f4fd29901d9a7de	10	p
2022	388a0b3f8f48fae8f81faf6dfc575ee6	10	p
2022	c8ff330a51679be152c8143a532c62a8	10	p
2022	5231fd5935614a26cafaa108b1afb5f1	100	c
2022	7d41a3b6fcb37d9de799e0a3f6f122be	100	d
2022	006c8819a1c9f3d703ae0bfdb4267ee7	100	p
2022	82916e9a46df7751e3e32b1cd42f3d7d	100	p
2022	3d3fce1a812222d03363737195e038d2	100	p
2022	0b2f3de845504bb872d0879122746e95	100	p
2022	48c70938a42b082280e63b60afd036d4	100	p
2022	32b9bf12b155a69d67d83749b532c318	100	p
2022	8dac09df374301b9ffc1740654beda24	100	p
2022	1bdc33f72624a4a50bc72e1bfc9313e3	100	p
2022	6f03012544a5388fa7cf91c353c88910	100	p
2022	8fe924b3da60b5a780eaf142b5c18471	100	p
2022	af62aa090bff491986a48093019d0e0a	101	c
2022	3fc408c991ccd6248c3aade0fd1c9b1d	101	d
2022	faaa0070ba0b8e2541a572bcc2890ecd	101	p
2022	1fc527247c0080b8ca2ae6cb9d310a40	101	p
2022	d70ff70349fb526700f89a992e24e48e	101	p
2022	3f608c63b830c3a9a2d6959ffde95f6a	101	p
2022	6e6645c4615341b17cf934280c4d02fe	101	p
2022	e07535d077d94177f87c1332b6a5c552	102	c
