year	j	panel_ref	panel_track	panel_title	panel_type	panel_description	notes
2022	1	NA	NA	Political Rhetoric on Immigration	Panel	NA	NA
2022	10	NA	NA	The selection and success of candidates	Panel	NA	NA
2022	100	NA	NA	Fiscal Policy Preferences & Politics	Panel	NA	NA
2022	101	NA	NA	Technological Change & Institutions	Panel	NA	NA
2022	102	NA	NA	Citizen Attitudes and Redistribution 3	Panel	NA	NA
2022	103	NA	NA	Measurement: Polarization and Political Communication	Panel	NA	NA
2022	104	NA	NA	Identity and Civil Conflict	Panel	NA	NA
2022	106	NA	NA	Innovative Applications of Text Analysis to the study of European Union Politics	Panel	NA	NA
2022	107	NA	NA	Experiments in political communication II	Panel	NA	NA
2022	108	NA	NA	Representation and congruence between voters and elites	Panel	NA	NA
2022	109	NA	NA	Party competition and the positions of political parties	Panel	NA	NA
2022	11	NA	NA	Elections & Institutions	Panel	NA	NA
2022	110	NA	NA	International Cooperation and Competition	Panel	NA	NA
2022	111	NA	NA	Terrorism	Panel	NA	NA
2022	112	NA	NA	Effects of Institutions	Panel	NA	NA
2022	113	NA	NA	Populism	Panel	NA	NA
2022	114	NA	NA	Gender and Policy Outcomes	Panel	NA	NA
2022	115	NA	NA	Gender and Politics	Panel	NA	NA
2022	117	NA	NA	Measuring Complex Political Phenomena	Panel	NA	NA
2022	118	NA	NA	Challenger Parties and European Elections	Panel	NA	NA
2022	119	NA	NA	Fake News Experiments	Panel	NA	NA
2022	12	NA	NA	Advances in the Analysis of Electoral Issues	Panel	NA	NA
2022	120	NA	NA	Representation, ethnicity and immigration	Panel	NA	NA
2022	121	NA	NA	Parties, protests and responsiveness	Panel	NA	NA
2022	123	NA	NA	Text-as-data in International Relations	Panel	NA	NA
2022	124	NA	NA	Technological Change & Political Preferences	Panel	NA	NA
2022	125	NA	NA	Populism: the Demand Side	Panel	NA	NA
2022	126	NA	NA	Populist Appeals and Voting Behaviour	Panel	NA	NA
2022	127	NA	NA	Voter Turnout	Panel	NA	NA
2022	128	NA	NA	Participation, Class, Migration	Panel	NA	NA
2022	129	NA	NA	Conflict, Repression and Violence	Panel	NA	NA
2022	13	NA	NA	Legislation	Panel	NA	NA
2022	130	NA	NA	Political Accountability	Panel	NA	NA
2022	131	NA	NA	Survey Methodology	Panel	NA	NA
2022	132	NA	NA	Inequality, Redistribution and Deservingness	Panel	NA	NA
2022	133	NA	NA	Political Institutions, Politicians, and Policymaking	Panel	NA	NA
2022	134	NA	NA	Gender and Political Participation, Behaviour, and Selection	Panel	NA	NA
2022	135	NA	NA	Far-right communication strategies	Panel	NA	NA
2022	136	NA	NA	Representation, gender and diversity	Panel	NA	NA
2022	137	NA	NA	Perceptions of parties in coalition governments	Panel	NA	NA
2022	138	NA	NA	International Law and Legalization	Panel	NA	NA
2022	139	NA	NA	War & Deterrence	Panel	NA	NA
2022	14	NA	NA	Opposition	Panel	NA	NA
2022	140	NA	NA	Understanding Violence	Panel	NA	NA
2022	141	NA	NA	Europe and the European Union	Panel	NA	NA
2022	142	NA	NA	Interest Groups & Political Connections	Panel	NA	NA
2022	143	NA	NA	Migration and Welfare State	Panel	NA	NA
2022	144	NA	NA	Government Formation, Stability and Responsiveness	Panel	NA	NA
2022	145	NA	NA	Race, Gender, and Representation	Panel	NA	NA
2022	147	NA	NA	Measuring and conceptualizing affective polarization beyond the US	Panel	NA	NA
2022	148	NA	NA	Using machine learning tools for measurement and analysis	Panel	NA	NA
2022	149	NA	NA	Female Representation	Panel	NA	NA
2022	15	NA	NA	Institutions and Party Organization	Panel	NA	NA
2022	150	NA	NA	Gender, Elections, and Political Careers	Panel	NA	NA
2022	155	NA	NA	International Organizations	Panel	NA	NA
2022	156	NA	NA	Polarisation, Identity and Race in European Politics	Panel	NA	NA
2022	157	NA	NA	Identity Politics	Panel	NA	NA
2022	158	NA	NA	Party competition and new/old divides	Panel	NA	NA
2022	159	NA	NA	Intra-party politics and party instability	Panel	NA	NA
2022	160	NA	NA	International Norms, Legitimacy, and the Diffusion of Standards	Panel	NA	NA
2022	161	NA	NA	International Organizations II	Panel	NA	NA
2022	162	NA	NA	Interest Groups, Competition & Regulation	Panel	NA	NA
2022	163	NA	NA	Natural Resources, & the Environment	Panel	NA	NA
2022	164	NA	NA	Public Opinion and Exceptional Contexts 1	Panel	NA	NA
2022	165	NA	NA	Public Opinion: Drivers, Mechanisms, and Measurements	Panel	NA	NA
2022	166	NA	NA	Environmental Disasters, Citizen Attitudes and Behaviour	Panel	NA	NA
2022	17	NA	NA	Biases, & Behaviour	Panel	NA	NA
2022	178	NA	NA	Public and Political Dynamics with Public Policy	Panel	NA	NA
2022	18	NA	NA	Economic Crisis	Panel	NA	NA
2022	180	NA	NA	Information consumption	Panel	NA	NA
2022	181	NA	NA	Perceptions of parties and elites	Panel	NA	NA
2022	182	NA	NA	Conflict	Panel	NA	NA
2022	184	NA	NA	Migration: Drivers, Dynamics, Consequences	Panel	NA	NA
2022	185	NA	NA	Politics and Economics in Post-Conflict Settings	Panel	NA	NA
2022	188	NA	NA	Attitudes towards Migrants 1	Panel	NA	NA
