affiliation	affiliation_ror	affiliation_url	affiliation_ccode	affiliation_cname
1	Guido Carli Free International University for Social Studies	https://ror.org/01q8b6q23	IT	Italy
1 Leiden University College	Leiden University	https://ror.org/027bh9e22	NL	Netherlands
ASCoR, University of Amsterdam, Amsterdam	University of Amsterdam	https://ror.org/04dkp9463	NL	Netherlands
Aalborg University, Denmark	Aalborg University	https://ror.org/04m5j1k67	DK	Denmark
Aarhus University	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Aarhus University, Denmark	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Aarhus University, Denmark && Danish Center for Social Science Research (VIVE), Denmark	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Aarhus University, Department of Political Science	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Aarhus University, University of Zurich	Aarhus University	https://ror.org/01aj84f44	DK	Denmark
Academia Sinica, Taiwan	Academia Sinica	https://ror.org/05bxb3784	TW	Taiwan
Academica Sinica, Taiwan	Academia Sinica	https://ror.org/05bxb3784	TW	Taiwan
Aix Marseille School of Economics, France	Aix-Marseille University	https://ror.org/035xkbk20	FR	France
Aix-Marseille School of Economics, France	Aix-Marseille University	https://ror.org/035xkbk20	FR	France
Alan Turing Institute, United Kingdom	The Alan Turing Institute	https://ror.org/035dkdb55	GB	United Kingdom
Albert-Ludwigs-Universität Freiburg, Germany	University of Freiburg	https://ror.org/0245cg223	DE	Germany
Alma Mater Studiorum - University of Bologna	University of Bologna	https://ror.org/01111rn36	IT	Italy
American University	American University	https://ror.org/052w4zt36	US	United States
American University, USA	American University	https://ror.org/052w4zt36	US	United States
American University, Washington, DC	American University	https://ror.org/052w4zt36	US	United States
American university, USA	American University	https://ror.org/052w4zt36	US	United States
Amherst College	Amherst College	https://ror.org/028vqfs63	US	United States
Amsterdam School of Communication Research, University of Amsterdam	University of Amsterdam	https://ror.org/04dkp9463	NL	Netherlands
Analysis Group	Analysis Group (United States)	https://ror.org/044jp1563	US	United States
Antwerp University, Belgium	University of Antwerp	https://ror.org/008x57b05	BE	Belgium
Appalachian State University, USA	Appalachian State University	https://ror.org/051m4vc48	US	United States
Arizona State University	Arizona State University	https://ror.org/03efmqc40	US	United States
Arizona State University, USA	Arizona State University	https://ror.org/03efmqc40	US	United States
Athens University of Economics and Business, Greece	Athens University of Economics and Business	https://ror.org/03s262162	GR	Greece
