rowid	affiliation	url	ror_results	chosen	score	matching_type	organization.name	organization.id	organization.country.country_name
1	1								
2	1 Leiden University College	https://api.ror.org/organizations?affiliation=1+Leiden+University+College	20	TRUE	1	COMMON TERMS	Leiden University	https://ror.org/027bh9e22	Netherlands
3	Aalborg University, Denmark	https://api.ror.org/organizations?affiliation=Aalborg+University,+Denmark	7	TRUE	1	PHRASE	Aalborg University	https://ror.org/04m5j1k67	Denmark
4	Aarhus University	https://api.ror.org/organizations?affiliation=Aarhus+University	20	TRUE	1	PHRASE	Aarhus University	https://ror.org/01aj84f44	Denmark
5	aarhus university, Denmark	https://api.ror.org/organizations?affiliation=aarhus+university,+Denmark	10	TRUE	1	PHRASE	Aarhus University	https://ror.org/01aj84f44	Denmark
6	Aarhus University, Denmark	https://api.ror.org/organizations?affiliation=Aarhus+University,+Denmark	10	TRUE	1	PHRASE	Aarhus University	https://ror.org/01aj84f44	Denmark
7	Aarhus University, Department of Political Science	https://api.ror.org/organizations?affiliation=Aarhus+University,+Department+of+Political+Science	44	TRUE	1	PHRASE	Aarhus University	https://ror.org/01aj84f44	Denmark
8	Academia Sinica, Taiwan	https://api.ror.org/organizations?affiliation=Academia+Sinica,+Taiwan	11	TRUE	1	PHRASE	Academia Sinica	https://ror.org/05bxb3784	Taiwan
9	Aix-Marseille School of Economics, France	https://api.ror.org/organizations?affiliation=Aix-Marseille+School+of+Economics,+France	3	FALSE	0.84	COMMON TERMS	Paris School of Economics	https://ror.org/01qtp1053	France
10	Albert-Ludwigs-Universität Freiburg, Germany	https://api.ror.org/organizations?affiliation=Albert-Ludwigs-Universitat+Freiburg,+Germany	9	TRUE	1	PHRASE	University of Freiburg	https://ror.org/0245cg223	Germany
11	American University	https://api.ror.org/organizations?affiliation=American+University	23	TRUE	1	PHRASE	American University	https://ror.org/052w4zt36	United States
12	American University, USA	https://api.ror.org/organizations?affiliation=American+University,+USA	8	TRUE	1	PHRASE	American University	https://ror.org/052w4zt36	United States
13	American University, Washington, DC	https://api.ror.org/organizations?affiliation=American+University,+Washington,+DC	19	TRUE	1	PHRASE	American University	https://ror.org/052w4zt36	United States
14	Analysis Group	https://api.ror.org/organizations?affiliation=Analysis+Group	14	TRUE	1	PHRASE	Analysis Group (United States)	https://ror.org/044jp1563	United States
15	Arizona State University, USA	https://api.ror.org/organizations?affiliation=Arizona+State+University,+USA	3	TRUE	1	PHRASE	Arizona State University	https://ror.org/03efmqc40	United States
16	ASCoR, University of Amsterdam, Amsterdam	https://api.ror.org/organizations?affiliation=ASCoR,+University+of+Amsterdam,+Amsterdam	22	TRUE	1	PHRASE	University of Amsterdam	https://ror.org/04dkp9463	Netherlands
17	Australian National University, Australia	https://api.ror.org/organizations?affiliation=Australian+National+University,+Australia	15	TRUE	1	PHRASE	Australian National University	https://ror.org/019wvm592	Australia
18	Autonomous university of Barcelona (UAB), Spain	https://api.ror.org/organizations?affiliation=Autonomous+university+of+Barcelona+(UAB),+Spain	2	TRUE	1	COMMON TERMS	Autonomous University of Barcelona	https://ror.org/052g8jq94	Spain
19	Ben-Gurion University	https://api.ror.org/organizations?affiliation=Ben-Gurion+University	0						
20	Ben-Gurion University, Beer Sheva	https://api.ror.org/organizations?affiliation=Ben-Gurion+University,+Beer+Sheva	0						
21	BI Norwegian Business School, Oslo	https://api.ror.org/organizations?affiliation=BI+Norwegian+Business+School,+Oslo	12	TRUE	1	PHRASE	BI Norwegian Business School	https://ror.org/03ez40v33	Norway
